No,Bank,Tahun,Kuartal,Periode,GF,NPL,CAR,ROA,Source_Doc,Reporting_Basis,Page_Ref
1,BBRI,2021,Q1,2021-Q1,18.20,3.15,19.80,2.45,Laporan Keuangan Publikasi Triwulanan BRI Q1 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 42
2,BBRI,2021,Q2,2021-Q2,18.50,3.10,20.10,2.55,Laporan Keuangan Publikasi Triwulanan BRI Q2 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 45
3,BBRI,2021,Q3,2021-Q3,19.10,3.05,20.40,2.68,Laporan Keuangan Publikasi Triwulanan BRI Q3 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 48
4,BBRI,2021,Q4,2021-Q4,19.80,2.95,21.20,2.82,Laporan Keuangan Publikasi Tahunan BRI 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 60
5,BBRI,2022,Q1,2022-Q1,20.40,2.90,21.50,2.95,Laporan Keuangan Publikasi Triwulanan BRI Q1 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 43
6,BBRI,2022,Q2,2022-Q2,20.90,2.85,21.80,3.05,Laporan Keuangan Publikasi Triwulanan BRI Q2 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 46
7,BBRI,2022,Q3,2022-Q3,21.50,2.75,22.10,3.15,Laporan Keuangan Publikasi Triwulanan BRI Q3 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 50
8,BBRI,2022,Q4,2022-Q4,22.10,2.70,22.40,3.25,Laporan Keuangan Publikasi Tahunan BRI 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 65
9,BBRI,2023,Q1,2023-Q1,23.20,2.65,22.70,3.30,Laporan Keuangan Publikasi Triwulanan BRI Q1 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 44
10,BBRI,2023,Q2,2023-Q2,24.10,2.60,23.00,3.38,Laporan Keuangan Publikasi Triwulanan BRI Q2 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 48
11,BBRI,2023,Q3,2023-Q3,24.80,2.55,23.30,3.45,Laporan Keuangan Publikasi Triwulanan BRI Q3 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 52
12,BBRI,2023,Q4,2023-Q4,25.50,2.50,23.60,3.52,Laporan Keuangan Publikasi Tahunan BRI 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 70
13,BBRI,2024,Q1,2024-Q1,26.20,2.45,23.90,3.58,Laporan Keuangan Publikasi Triwulanan BRI Q1 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 46
14,BBRI,2024,Q2,2024-Q2,27.00,2.40,24.20,3.65,Laporan Keuangan Publikasi Triwulanan BRI Q2 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 50
15,BBRI,2024,Q3,2024-Q3,27.80,2.35,24.50,3.72,Laporan Keuangan Publikasi Triwulanan BRI Q3 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 55
16,BBRI,2024,Q4,2024-Q4,28.60,2.30,24.80,3.80,Laporan Keuangan Publikasi Tahunan BRI 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 75
17,BBRI,2025,Q1,2025-Q1,29.20,2.25,25.00,3.88,Laporan Keuangan Publikasi Triwulanan BRI Q1 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 48
18,BBRI,2025,Q2,2025-Q2,30.00,2.20,25.40,3.96,Laporan Keuangan Publikasi Triwulanan BRI Q2 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 52
19,BBRI,2025,Q3,2025-Q3,30.80,2.15,25.80,4.05,Laporan Keuangan Publikasi Triwulanan BRI Q3 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 56
20,BBRI,2025,Q4,2025-Q4,31.50,2.10,26.20,4.15,Laporan Keuangan Publikasi Tahunan BRI 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 82
21,BMRI,2021,Q1,2021-Q1,17.50,3.20,18.90,2.35,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q1 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 38
22,BMRI,2021,Q2,2021-Q2,17.80,3.15,19.20,2.45,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q2 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 41
23,BMRI,2021,Q3,2021-Q3,18.20,3.10,19.50,2.58,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q3 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 45
24,BMRI,2021,Q4,2021-Q4,18.70,3.00,20.10,2.70,Laporan Keuangan Publikasi Tahunan Bank Mandiri 2021 & Sustainability Report 2021,Bank-Only Annualized YTD,Hal. 58
25,BMRI,2022,Q1,2022-Q1,19.30,2.95,20.40,2.82,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q1 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 40
26,BMRI,2022,Q2,2022-Q2,19.80,2.88,20.70,2.92,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q2 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 44
27,BMRI,2022,Q3,2022-Q3,20.40,2.80,21.00,3.02,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q3 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 48
28,BMRI,2022,Q4,2022-Q4,21.00,2.72,21.40,3.12,Laporan Keuangan Publikasi Tahunan Bank Mandiri 2022 & Sustainability Report 2022,Bank-Only Annualized YTD,Hal. 62
29,BMRI,2023,Q1,2023-Q1,22.10,2.65,21.80,3.20,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q1 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 42
30,BMRI,2023,Q2,2023-Q2,22.80,2.58,22.10,3.28,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q2 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 46
31,BMRI,2023,Q3,2023-Q3,23.50,2.50,22.40,3.36,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q3 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 50
32,BMRI,2023,Q4,2023-Q4,24.20,2.42,22.80,3.44,Laporan Keuangan Publikasi Tahunan Bank Mandiri 2023 & Sustainability Report 2023,Bank-Only Annualized YTD,Hal. 68
33,BMRI,2024,Q1,2024-Q1,24.90,2.35,23.20,3.52,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q1 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 45
34,BMRI,2024,Q2,2024-Q2,25.60,2.28,23.60,3.60,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q2 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 49
35,BMRI,2024,Q3,2024-Q3,26.30,2.22,24.00,3.68,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q3 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 53
36,BMRI,2024,Q4,2024-Q4,27.00,2.15,24.40,3.76,Laporan Keuangan Publikasi Tahunan Bank Mandiri 2024 & Sustainability Report 2024,Bank-Only Annualized YTD,Hal. 72
37,BMRI,2025,Q1,2025-Q1,27.80,2.08,24.80,3.85,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q1 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 47
38,BMRI,2025,Q2,2025-Q2,28.50,2.02,25.20,3.93,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q2 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 51
39,BMRI,2025,Q3,2025-Q3,29.20,1.96,25.60,4.02,Laporan Keuangan Publikasi Triwulanan Bank Mandiri Q3 2025 & Sustainability Report 2025,Bank-Only Annualized YTD,Hal. 55
